id,title,release_date,popularity,vote_average,vote_count,genre_ids,original_language
1226863,The Super Mario Galaxy Movie,2026-04-01,718.7308,6.815,492,10751|35|12|14|16,en
1523145,Your Heart Will Be Broken,2026-03-26,377.5413,7.2,61,10749|18,ru
83533,Avatar: Fire and Ash,2025-12-17,306.1776,7.369,2626,878|12|14,en
687163,Project Hail Mary,2026-03-15,263.6881,8.214,1503,878|12,en
980431,"Avatar: Aang, The Last Airbender",2026-10-09,235.9757,0.0,0,16|28|12|14,en
1290417,Thrash,2026-04-10,222.0529,5.964,308,27|53,en
1327819,Hoppers,2026-03-04,220.5682,7.6,475,16|10751|878|35|12,en
1470130,The Mortuary Assistant,2026-02-13,214.7007,5.465,72,27|9648,en
1084577,Balls Up,2026-04-15,212.7175,5.583,60,35|28|12,en
502356,The Super Mario Bros. Movie,2023-04-05,202.3205,7.587,10488,10751|35|12|14|16,en
1290821,Shelter,2026-01-28,198.6925,6.785,559,28|80|53,en
840464,Greenland 2: Migration,2026-01-07,194.8899,6.488,871,12|53|878,en
1641319,Sniper: No Nation,2026-04-07,184.9982,6.15,30,28|53,en
1171145,Crime 101,2026-02-11,170.9671,6.992,709,80|53,en
20222,Sex with Love,2003-03-27,153.0266,6.5,240,35|10749,es
1297842,GOAT,2026-02-11,145.776,7.923,405,16|35|10751,en
1304313,Lee Cronin's The Mummy,2026-04-15,132.0094,6.894,66,27|9648,en
1159559,Scream 7,2026-02-25,122.3201,6.041,755,27|9648|80,en
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,119.9303,7.683,797,16|28|14,ja
1198994,Send Help,2026-01-22,117.9549,7.022,1004,27|53|35,en
1049471,Outcome,2026-04-06,107.7994,5.405,100,35|18,en
1265609,War Machine,2026-02-12,107.6893,7.244,1457,28|878|53,en
1526650,Mudborn,2025-10-09,104.347,6.8,21,27|53,zh
680493,Return to Silent Hill,2026-01-21,101.865,5.069,357,9648|18|27,en
879945,The Unknown Man,2021-10-16,101.7774,7.3,3,18,nl
